SKU,Image1_Path,Image_Count,Notes
adhd-planner,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\adhd-planner\cover.pdf,1,OK
ai-side-hustle-en,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\ai-side-hustle-en\cover.pdf,1,OK
airbnb-guestbook,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\airbnb-guestbook\cover.pdf,1,OK
bird-watching-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\etsy\cover_generated\bird-watching-journal.png,1,OK (generated via Pollinations Flux)
blood-pressure-log,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\blood-pressure-log\cover.pdf,1,OK
blood-sugar-tracker,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\blood-sugar-tracker\cover.pdf,1,OK
bold-easy-coloring-animals,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\bold-easy-coloring-animals\cover.pdf,1,OK
budget-planner-couples,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\budget-planner-couples\cover.pdf,1,OK
caregiver-daily-log,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\caregiver-daily-log\cover.pdf,1,OK
cottagecore-coloring,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\cottagecore-coloring\cover.pdf,1,OK
dog-health-training-log,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\dog-health-training-log\cover.pdf,1,OK
dot-marker-kids,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\dot-marker-kids\cover.png,1,OK
fishing-log-book,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\fishing-log-book\cover.pdf,1,OK
genz-stress,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\genz-stress\cover.pdf,1,OK
grief-journal-loss-of-parent,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\grief-journal-loss-of-parent\cover.pdf,1,OK
introvert-confidence,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\introvert-confidence\cover.pdf,1,OK
math-workbook-grade1,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\math-workbook-grade1\cover.pdf,1,OK
meal-prep-planner,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\meal-prep-planner\cover.pdf,1,OK
mental-reset-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\mental-reset-journal\cover_verify.png,1,OK
migraine-headache-tracker,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\migraine-headache-tracker\cover.pdf,1,OK
mileage-log-book,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\etsy\cover_generated\mileage-log-book.png,1,OK (generated via Pollinations Flux)
mileage-log-rideshare,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\etsy\cover_generated\mileage-log-rideshare.png,1,OK (generated via Pollinations Flux)
password-logbook,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\password-logbook\cover.pdf,1,OK
password-logbook-premium,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\password-logbook-premium\cover_verify.png,1,OK
pelvic-floor-recovery-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\etsy\cover_generated\pelvic-floor-recovery-journal.png,1,OK (generated via Pollinations Flux)
perimenopause-symptom-tracker,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\perimenopause-symptom-tracker\cover.pdf,1,OK
pet-loss-memorial-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\pet-loss-memorial-journal\cover.pdf,1,OK
sleep-planner,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\sleep-planner\cover_preview.png,1,OK
sobriety-90-day-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\sobriety-90-day-journal\cover.pdf,1,OK
sourdough-baking-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\etsy\cover_generated\sourdough-baking-journal.png,1,OK (generated via Pollinations Flux)
spot-difference-seniors,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\spot-difference-seniors\cover.pdf,1,OK
yoga-progress-journal,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\yoga-progress-journal\cover.pdf,1,OK
zodiac-mandala-coloring,C:\Users\hdh02\Desktop\cheonmyeongdang\departments\ebook\projects\zodiac-mandala-coloring\cover.pdf,1,OK
ai-prompt-library-200,D:\notion_templates_2026_05_global_v2\_covers\ai-prompt-library-200.jpg,1,OK
freelancer-client-toolkit,D:\notion_templates_2026_05_global_v2\_covers\freelancer-client-toolkit.jpg,1,OK
habit-tracker-365,D:\notion_templates_2026_05_global_v2\_covers\habit-tracker-365.jpg,1,OK
budget-net-worth-tracker,D:\notion_templates_2026_05_global_v2\_covers\budget-net-worth-tracker.jpg,1,OK
weekly-aesthetic-planner,D:\notion_templates_2026_05_global_v2\_covers\weekly-aesthetic-planner.jpg,1,OK
BUNDLE-NOTION-5PACK,D:\notion_templates_2026_05_global_v2\_covers\BUNDLE_global.jpg,1,OK
SAJU-PREMIUM-PDF,D:\saju_premium_pdf\_cover\saju_premium_cover.jpg,1,OK
